# Stellar mass histogram output file. It gives the generated number of stars in different mass range.
# The columns are:
# mass_range_center mass_range mass_range_upper_limit mass_range_lower_limit star_number_in_the_mass_range

149.05580594115438 1.8883881176912496 150 148.11161188230875 1836
147.1793045224066 1.8646147198043366 148.11161188230875 146.2469971625044 2066
145.3264268568721 1.841140611264649 146.2469971625044 144.40585655123976 2072
143.4968755391185 1.8179620242425756 144.40585655123976 142.5878945269972 2135
141.69035690782587 1.7950752383426334 142.5878945269972 140.79281928865456 2123
139.9065809986514 1.7724765800062983 140.79281928865456 139.02034270864826 2212
138.145261497687 1.7501624219225107 139.02034270864826 137.27018028672575 2201
136.4061156955031 1.728129182445258 137.27018028672575 135.5420511042805 2256
134.68886444177107 1.7063733250188307 135.5420511042805 133.83567777926166 2228
132.99323210045662 1.68489135761007 133.83567777926166 132.1507864216516 2269
131.31894650557757 1.6636798321480057 132.1507864216516 130.48710658950358 2311
129.66573891751847 1.6427353439702017 130.48710658950358 128.84437124553338 2327
128.03334397989516 1.622054531276433 128.84437124553338 127.22231671425695 2336
126.42149967696243 1.6016340745890432 127.22231671425695 125.6206826396679 2369
124.82994729155786 1.5814706962200802 125.6206826396679 124.03921194344782 2421
123.25843136357518 1.5615611597452812 124.03921194344782 122.47765078370254 2382
121.70669964896027 1.5419022694845523 122.47765078370254 120.93574851421799 2440
120.17450307922351 1.522490869988971 120.93574851421799 119.41325764422902 2424
118.6615957214618 1.5033238455344389 119.41325764422902 117.90993379869458 2501
117.16773473888387 1.4843981196214457 117.90993379869458 116.42553567907314 2463
115.69268035183248 1.4657106544813274 116.42553567907314 114.95982502459181 2546
114.23619579929746 1.4472584505886914 114.95982502459181 113.51256657400312 2497
112.79804730091317 1.4290385461798962 113.51256657400312 112.08352802782322 2582
111.37800401943437 1.4110480167776984 112.08352802782322 110.67248001104552 2539
109.97583802368459 1.393283974721868 110.67248001104552 109.27919603632365 2644
108.59132425197083 1.3757435687056443 109.27919603632365 107.90345246761801 2601
107.22424047595896 1.358423983318076 107.90345246761801 106.54502848429993 2675
105.87436726500384 1.3413224385921865 106.54502848429993 105.20370604570775 2658
104.54148795092843 1.3244361895586536 105.20370604570775 103.8792698561491 2688
103.22538859324644 1.3077625258053018 103.8792698561491 102.57150733034379 2708
101.92585794482278 1.2912987710420083 102.57150733034379 101.28020855930178 2742
100.64268741796619 1.2750422826711798 101.28020855930178 100.0051662766306 2776
99.37567105094885 1.2589904513635162 100.0051662766306 98.74617582526709 2741
98.12460547494747 1.2431407006392305 98.74617582526709 97.50303512462786 2854
96.8892898814006 1.2274904864545277 97.50303512462786 96.27554463817333 2779
95.66952598977673 1.2120372967931985 96.27554463817333 95.06350734138013 2897
94.4651180157484 1.1967786512634433 95.06350734138013 93.86672869011669 2862
93.2758726397668 1.1817121006997695 93.86672869011669 92.68501658941692 2922
92.10159897603202 1.1668352267698054 92.68501658941692 91.51818136264711 2901
90.942108541854 1.1521456415862303 91.51818136264711 90.36603572106088 2946
89.79721522739916 1.1376409873234223 90.36603572106088 89.22839473373746 2973
88.66673526581795 1.1233189358390234 89.22839473373746 88.10507579789844 3031
87.5504872037483 1.1091771883002508 88.10507579789844 86.99589860959819 3010
86.44829187219074 1.095213474814912 86.99589860959819 85.90068513478327 3031
85.35997235774974 1.0814255540670814 85.90068513478327 84.81925958071619 3129
84.28535397423755 1.0678112129572952 84.81925958071619 83.7514483677589 3073
83.2242642346352 1.05436826624738 83.7514483677589 82.69708010151152 3129
82.17653282340666 1.0410945562096998 82.69708010151152 81.65598554530182 3177
81.14199156916143 1.0279879522807818 81.65598554530182 80.62799759302104 3190
80.12047441766137 1.0150463507193308 80.62799759302104 79.6129512423017 3178
79.11181740516739 1.0022676742686372 79.6129512423017 78.61068356803307 3225
78.11585863212153 0.9896498718230617 78.61068356803307 77.62103369621 3315
